,Morning (05:00-10:00),Late Morning (10:00-12:00),Noon (12:00-14:00),Afternoon (14:00-16:00),Late Afternoon (16:00-18:00),Evening (18:00-20:00),Night (20:00-24:00)
Living with the Land,	5,	20,	15,	10,	15,,
Test Track,	70,	100,	80,	90,	95,,
Soarin',	10,	30,	40,	40,	45,,
Gran Fiesta Tour Starring The Three Caballeros,	5,	5,	10,	15,	20,,
Mission: SPACE,	15,	15,	15,	15,	15,,
Frozen Ever After,,	50,	65,	65,	70,,
Remy's Ratatouille Adventure,	40,	45,	50,	60,	80,,
Guardians of the Galaxy: Cosmic Rewind,	90,	95,	90,	90,	100,,
Spaceship Earth,	10,	20,	15,	15,	15,,
The Seas with Nemo & Friends,	5,	15,	15,	5,	5,,
